song_index,trackname,artistname
0,(The Angels Wanna Wear My) Red Shoes,Elvis Costello
1,"(What's So Funny 'Bout) Peace, Love And Understanding",Elvis Costello & The Attractions
2,Accidents Will Happen,Elvis Costello & The Attractions
3,Alison,Elvis Costello
4,Band On The Run,Paul McCartney
5,Don't Dream It's Over,Crowded House
6,Everywhere I Go,Lissie
7,Fall At Your Feet,Crowded House
8,Four Seasons In One Day,Crowded House
9,Helplessly Hoping,"Crosby, Stills & Nash"
10,I'd Rather Be With You [Radio Edit],Joshua Radin
11,In Sleep,Lissie
12,Little Lovin',Lissie
13,Live And Let Die,Paul McCartney
14,Oliver's Army,Elvis Costello & The Attractions
15,Only You,Joshua Radin
16,Southern Cross,"Crosby, Stills & Nash"
17,Weather With You,Crowded House
18,What If You,Joshua Radin
19,Winter,Joshua Radin
20,5 Years Time,Noah And The Whale
21,AKA... What A Life!,Noel Gallagher's High Flying Birds
22,Alive,Pearl Jam
23,American Girl,Tom Petty And The Heartbreakers
24,Atlantic City,Bruce Springsteen
25,Baggy Trousers,Madness
26,Black,Pearl Jam
27,Born to Run,Bruce Springsteen
28,Chevy Thunder,Spector
29,Come Closer,Miles Kane
30,Death To My Hometown,Bruce Springsteen
31,Even Flow,Pearl Jam
32,Free Fallin',Tom Petty
33,God & Satan,Biffy Clyro
34,Grounds For Divorce,Elbow
35,House Of Fun,Madness
36,Inhaler,Miles Kane
37,It Must Be Love,Madness
38,Just Breathe,Pearl Jam
39,L.I.F.E.G.O.E.S.O.N.,Noah And The Whale
40,Learning To Fly,Tom Petty And The Heartbreakers
41,Little By Little,Oasis
42,Many Of Horror,Biffy Clyro
43,Mountains,Biffy Clyro
44,One Day Like This,Elbow
45,Our House,Madness
46,The Captain,Biffy Clyro
47,The River,Bruce Springsteen
48,We Take Care Of Our Own,Bruce Springsteen
49,Wrecking Ball,Bruce Springsteen
50,Yellow Ledbetter,Pearl Jam
51,the birds,Elbow
52,Animals,Bonobo
53,Between Two Points (feat. Swan),The Glitch Mob
